Job_Name,Company,Location,Required_Skills,min_salary,max_salary
Senior Back,CÔNG TY TNHH SPACEMIND,Đà Nẵng: Thanh Khê,Không có,40000000,70000000
AI/Machine Learning Engineer,CÔNG TY TNHH PERSOL CAREER TECH STUDIO VIỆT NAM,Hồ Chí Minh: Quận 3,Không có,19500000,49400000
Senior Tech Lead,CÔNG TY TNHH SPACEMIND,Đà Nẵng: Thanh Khê,Không có,75000000,110000000
Nhân Viên / Kỹ Sư Modeler BIM 3D,CÔNG TY TNHH HANOI BIM CENTER,Hà Nội: Cầu Giấy,"3D Max, Revit, Archicad",0,2000000
Automotive,Công ty TNHH Vietsol,Hà Nội: Long Biên,"phân tích yêu cầu, Kiểm thử phần mềm, Viết Testcase",0,2000000
Kỹ Sư Mạng/Network Engineer,Công ty TNHH Hanyang Digitech Vina,Phú Thọ: Tx Phú Thọ,"TCP/IP, Routing Protocols (bgp, Ospf, Eigrp), Switching (vlan, Stp)",0,2000000
BIM MEP Leader / Trưởng Nhóm BIM,CÔNG TY TNHH SOCOTEC VIỆT NAM,Hà Nội: Ba Đình,"Kinh Nghiệm Sử Dụng Phần Mềm Bim (revit Structure, Tekla Structures)",20000000,25000000
Senior Game Designer,Công ty TNHH Skylink Group,Hồ Chí Minh: Quận 2,"Giao tiếp, Quản Lý Dự Án, Thiết Kế Game",0,2000000
DevOps Engineer,Công Ty TNHH NTT DATA VDS,Hà Nội: Thanh Xuân,Không có,30000000,50000000
Senior IT Project Manager,Công ty Cổ phần NTTe-MOI,Hà Nội: Cầu Giấy,Không có,0,78000000
Site Reliability Engineer,Công ty cổ phần Tasco,Hà Nội: Nam Từ Liêm,"Linux System Administration, Cloud Computing (aws, Gcp, Azure), Configuration Management (ansible, Chef, Puppet)",0,2000000
Backend Developer,CÔNG TY TNHH VODAPLAY VIỆT NAM,Hà Nội: Cầu Giấy,Không có,0,40000000
Product Executive/BA,Công ty Cổ phần Công nghệ KiotViet,Hà Nội: Hoàn Kiếm,"Phân Tích Dữ Liệu (data Analysis), Nghiên Cứu Thị Trường (market Research), Phân Tích Nghiệp Vụ (business Analysis)",20000000,31000000
Senior Business Analyst,Công ty Cổ phần Đầu tư và Phát triển Koolsoft,Hà Nội: Thanh Xuân,"Giao tiếp, Phân tích dữ liệu, Phân Tích Nghiệp Vụ",20000000,30000000
Junior PHP Developer,EDUPIA,Hà Nội: Thanh Xuân,"PHP, MySQL, HTML",10000000,15000000
Chuyên Viên Phát Triển Ứng Dụng Power Platform,CÔNG TY CỔ PHẦN ONE MOUNT GROUP,Hà Nội: Hai Bà Trưng,Không có,0,2000000
Chuyên Viên Hồ Sơ Kỹ Thuật Thầu,Công ty Cổ phần Hệ thống Công nghệ ETC,Hà Nội: Cầu Giấy,Không có,30000000,35000000
(VN 186) Kỹ Sư Phát Triển Phần Mềm Nhúng Matlab Simulink,CTY TNHH R TECHNO VIỆT NAM,Hồ Chí Minh,"Matlab, Simulink, Phát Triển Phần Mềm Nhúng",0,32000000
Backend Developer,CÔNG TY CỔ PHẦN GIẢI PHÁP ATOM,Hồ Chí Minh: Quận 7,"Kiểm Soát Phiên Bản (git), Thiết Kế Cơ Sở Dữ Liệu (sql, Nosql), Cấu Trúc Dữ Liệu Và Giải Thuật",0,2000000
Business Analyst,CÔNG TY TNHH TIMIND,Hà Nội: Thanh Xuân,Không có,10000000,15000000
DevOps Engineer,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,Hà Nội: Nam Từ Liêm,"Linux, Cloud (aws, Azure, Gcp), Ci Cd (jenkins, Gitlab Ci, Circleci)",13000000,20000000
Lập Trình Viên Java / Java Developer,Bệnh Viện Đa Khoa Quốc Tế Thu Cúc – Chi Nhánh Công Ty Cổ Phần Y Khoa & Thẩm Mỹ Thu Cúc,Hà Nội: Tây Hồ,"Java, SQL, Spring Framework",0,2000000
Lập Trình Viên BE,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ RUBICON,Hà Nội: Cầu Giấy,"C#, .net Framework .net Core, Asp.net (mvc, Web Api)",0,2000000
Automation Tester,TMA Solutions,Hồ Chí Minh: Quận 12,"Kiến Thức Về Kiểm Thử Phần Mềm, Kinh Nghiệm Viết Test Case Và Test Plan, Kinh Nghiệm Sử Dụng Các Công Cụ Kiểm Thử Tự Động (selenium, Junit, Testng, Cucumber)",0,2000000
Business Analyst,CÔNG TY CỔ PHẦN GIẢI PHÁP ATOM,Hồ Chí Minh: Quận 7,"Giao tiếp, Phân tích dữ liệu, Phân Tích Nghiệp Vụ",0,2000000
Business Analyst,Công ty TNHH Avada Group,Hà Nội: Hà Đông,"Giao tiếp, Phân tích dữ liệu, Phân Tích Nghiệp Vụ",12000000,26000000
Fullstack Developer,Công ty TNHH Avada Group,Hà Nội: Hà Đông,"Javascript, HTML/CSS, Backend Framework (node.js, Python Django, Ruby On Rails, Java Spring)",12000000,25000000
Vị Trí Nhân Viên Giám Sát ATTT,CÔNG TY CỔ PHẦN GIẢI PHÁP ĐIỆN TỬ VIỆT HỒNG QUANG,Hồ Chí Minh: Quận 1,"Quản Lý Sự Cố Bảo Mật, Kiến Thức Về Các Mối Đe Dọa An Ninh Mạng, Phân Tích Bảo Mật",0,2000000
Full-Stack Developer [Core-Members]/IT - Hà Nội,Công ty TNHH TD Consulting,Hà Nội: Hai Bà Trưng,"Javascript, ReactJS, HTML/CSS",0,2000000
Frontend Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ CÔNG NGHỆ NAM LONG,Hồ Chí Minh: Phú Nhuận,"CSS, Git, HTML",0,2000000
AI Engineer,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,Hà Nội: Nam Từ Liêm,"Git, Python, Machine Learning",17000000,25000000
Nodejs Developer,FPT IS,Hồ Chí Minh: Quận 7,"NodeJS, REST API, Nestjs",0,2000000
Senior Data Engineer,Công ty Cổ phần GEM,Hà Nội: Cầu Giấy,"Python, SQL, ETL",30000000,45000000
Frontend Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ CÔNG NGHỆ NAM LONG,Hồ Chí Minh: Phú Nhuận,"CSS, Git, HTML",0,2000000
Unity Developer,WAYFU STUDIO,Hà Nội: Thanh Xuân,"C#, Giải quyết vấn đề, Kiểm Soát Phiên Bản (git)",0,12000000
Senior Java Developer,Công ty Cổ phần Truyền thông và Dịch vụ Nodo,Hà Nội: Nam Từ Liêm,Không có,25000000,35000000
Middle .Net,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,"Hà Nội: Nam Từ Liêm, Cầu Giấy, Thanh Xuân","SQL, Angular, RESTful API",0,2000000
Backend Developer,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,Hà Nội: Từ Liêm,"Python, Lập Trình Hướng Đối Tượng (oop), Go (golang)",20000000,45000000
