Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
Game Night,2018,0.66,0.69,0.68,270000,100.0,Dark Comedy|High-Concept Comedy|Urban Adventure|Action|Adventure|Comedy|Crime|Thriller
Alien: Romulus,2024,0.64,0.71,0.68,270000,119.0,Body Horror|Monster Horror|Space Sci-Fi|Horror|Sci-Fi|Thriller
Dungeons & Dragons: Honor Among Thieves,2023,0.72,0.72,0.72,267000,134.0,Quest|Sword & Sorcery|Action|Adventure|Comedy|Fantasy
The Gray Man,2022,0.49,0.65,0.57,264000,122.0,One-Person Army Action|Action|Mystery|Thriller
Kong,2021,0.59,0.63,0.61,261000,113.0,Dinosaur Adventure|Disaster|Kaiju|Action|Sci-Fi|Thriller
Ant-Man and the Wasp: Quantumania,2023,0.48,0.6,0.54,260000,124.0,Superhero|Action|Adventure|Comedy|Sci-Fi
Prey,2022,0.71,0.71,0.71,258000,100.0,Alien Invasion|Folk Horror|Monster Horror|Action|Adventure|Horror|Sci-Fi|Thriller
Oceans Eight,2018,0.61,0.63,0.62,256000,110.0,Caper|Heist|Action|Comedy|Crime
Elvis,2022,0.64,0.73,0.68,255000,159.0,Docudrama|Epic|Period Drama|Showbiz Drama|Biography|Drama|Music
The Whale,2022,0.6,0.76,0.68,254000,117.0,Epic|Psychological Drama|Tragedy|Drama
Civil War,2024,0.75,0.7,0.72,254000,109.0,Political Thriller|Road Trip|Action|Thriller
Saltburn,2023,0.61,0.7,0.66,252000,131.0,Dark Comedy|Psychological Drama|Psychological Thriller|Drama|Thriller
The Favourite,2018,0.91,0.75,0.83,252000,119.0,Costume Drama|Dark Comedy|Period Drama|Psychological Drama|Biography|Comedy|Drama|History
Fast & Furious Presents: Hobbs & Shaw,2019,0.6,0.64,0.62,252000,137.0,Car Action|Dark Comedy|Action|Adventure|Thriller
The Adam Project,2022,0.55,0.67,0.61,251000,106.0,Time Travel|Action|Adventure|Comedy|Sci-Fi
