Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Solo Leveling,2024–,8.6,93K,78,TV-MA,"Japanese, Action Epic, Adult Animation, Anime, Dark Fantasy, Hand-Drawn Animation, One-Person Army Action, Supernatural Fantasy, Survival, Action"
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,93K,72,1h 57m,"Japanese, Adult Animation, Anime, Dark Fantasy, Hand-Drawn Animation, Shōnen, Superhero, Supernatural Fantasy, Sword & Sorcery, Action"
Sorry to Bother You,2018,6.9,93K,78,1h 52m,"Dark Comedy, Satire, Workplace Drama, Comedy, Drama, Fantasy, Sci-Fi"
A Beautiful Day in the Neighborhood,2019,7.2,93K,80,1h 49m,"Docudrama, Biography, Drama, Family"
The Midnight Sky,2020,5.7,93K,58,1h 58m,"Dystopian Sci-Fi, Space Sci-Fi, Adventure, Drama, Sci-Fi, Thriller"
1923,2022–2025,8.3,92K,N/A,TV-MA,"Period Drama, Western Epic, Drama, Western"
Attack on Titan,2013–2023,9.8,92K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Perfect Days,2023,7.9,92K,80,2h 4m,"Japanese, Psychological Drama, Drama"
His Dark Materials,2019–2022,7.7,92K,N/A,TV-14,"Dark Fantasy, Fantasy Epic, Quest, Steampunk, Supernatural Fantasy, Teen Drama, Teen Fantasy, Adventure, Drama, Fantasy"
Mile 22,2018,6.1,92K,38,1h 34m,"Spy, Action, Crime, Thriller"
Fighting with My Family,2019,7,92K,68,1h 48m,"Docudrama, Biography, Comedy, Drama, Sport"
Q,2025–,8.2,92K,N/A,TV-MA,"Crime, Drama, Mystery, Thriller"
Raised by Wolves,2020–2022,7.4,92K,N/A,TV-MA,"Dystopian Sci-Fi, Sci-Fi Epic, Drama, Fantasy, Sci-Fi, Thriller"
Maniac,2018,7.6,91K,N/A,TV-MA,"Dark Comedy, Psychological Drama, Comedy, Drama, Sci-Fi"
Mirzapur,2018–,8.4,91K,N/A,TV-MA,"Hindi, Gangster, Action, Crime, Thriller"
Attack on Titan,2013–2023,9.8,91K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Never Have I Ever,2020–2023,7.8,91K,N/A,TV-14,"Coming-of-Age, Teen Comedy, Teen Drama, Comedy, Drama"
Blockers,2018,6.2,91K,69,1h 42m,"Raunchy Comedy, Satire, Teen Comedy, Comedy, Drama"
Farha,2021,8,91K,N/A,1h 32m,"Arabic, Coming-of-Age, Period Drama, Drama"
When the Phone Rings,2024–,5.8,91K,N/A,TV-14,"Korean, Korean Drama, Drama, Mystery, Romance, Thriller"
Scary Stories to Tell in the Dark,2019,6.2,91K,61,1h 48m,"Body Horror, Folk Horror, Teen Horror, Adventure, Horror, Mystery"
MobLand,2025–,8.4,90K,N/A,TV-MA,"Psychological Drama, Crime, Drama"
The Watcher,2022,6.5,90K,N/A,TV-MA,"Psychological Drama, Suspense Mystery, Whodunnit, Drama, Horror, Mystery, Thriller"
Tiger King,2020–2021,7.5,90K,N/A,TV-MA,"Crime Documentary, Docuseries, True Crime, Biography, Crime, Documentary"
Kota Factory,2019–2021,9,90K,N/A,TV-14,"Hindi, Coming-of-Age, Comedy, Drama"
The Christmas Chronicles,2018,7,90K,52,1h 44m,"Holiday Comedy, Holiday Family, Adventure, Comedy, Family, Fantasy, Holiday"
Bloodshot,2020,5.7,90K,44,1h 49m,"Superhero, Action, Adventure, Sci-Fi"
Dream Scenario,2023,6.8,90K,74,1h 42m,"Dark Comedy, High-Concept Comedy, Psychological Horror, Comedy, Drama, Fantasy, Horror"
Christopher Robin,2018,7.2,89K,60,1h 44m,"Coming-of-Age, Period Drama, Adventure, Comedy, Drama, Family, Fantasy, Musical"
Heartstopper,2022–2024,8.5,89K,N/A,TV-14,"Coming-of-Age, Feel-Good Romance, Teen Drama, Teen Romance, Drama, Romance"
Master,2021,7.4,89K,N/A,2h 59m,"Tamil, One-Person Army Action, Prison Drama, Action, Crime, Drama, Thriller"
Dopesick,2021,8.6,89K,N/A,TV-MA,"Docudrama, Medical Drama, Tragedy, Drama"
Fresh,2022,6.7,89K,67,1h 54m,"Dark Comedy, Psychological Horror, Psychological Thriller, Romantic Comedy, Comedy, Horror, Romance, Thriller"
Johnny English Strikes Again,2018,6.2,89K,39,1h 29m,"Parody, Slapstick, Action, Adventure, Comedy"
The Peripheral,2022,7.5,89K,N/A,TV-MA,"Dystopian Sci-Fi, Suspense Mystery, Time Travel, Drama, Mystery, Sci-Fi, Thriller"
Presumed Innocent,2024–,7.7,89K,N/A,TV-MA,"Legal Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Attack on Titan,2013–2023,9.7,88K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
The Last of Us,2023–,9.4,88K,N/A,1h,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
Behind Her Eyes,2021,7.2,88K,N/A,TV-MA,"Psychological Drama, Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller"
Inventing Anna,2022,6.9,88K,N/A,TV-MA,"Docudrama, Drama"
The Woman in the Window,2021,5.7,88K,41,1h 40m,"Psychological Drama, Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Good Boys,2019,6.7,88K,78,1h 30m,"Coming-of-Age, Raunchy Comedy, Teen Adventure, Teen Comedy, Adventure, Comedy"
Warfare,2025,7.2,88K,65,1h 35m,"Action Epic, Docudrama, Epic, Period Drama, War Epic, Action, Drama, War"
The Good Nurse,2022,6.8,88K,60,2h 1m,"True Crime, Biography, Crime, Drama, Mystery, Thriller"
Upload,2020–2025,7.8,88K,N/A,TV-MA,"Dystopian Sci-Fi, Quirky Comedy, Satire, Comedy, Mystery, Sci-Fi"
The Dig,2021,7.1,88K,73,1h 52m,"Period Drama, Biography, Drama, History"
Secret Invasion,2023,5.8,88K,N/A,TV-14,"Alien Invasion, Superhero, Action, Adventure, Mystery, Sci-Fi, Thriller"
Climax,2018,6.9,88K,69,1h 37m,"French, Psychological Drama, Psychological Horror, Tragedy, Drama, Horror, Music, Thriller"
Fear Street: Part Two - 1978,2021,6.7,87K,61,1h 49m,"Slasher Horror, Supernatural Horror, Suspense Mystery, Teen Horror, Drama, Horror, Mystery"
Queen Cleopatra,2023,1.2,87K,77,TV-14,"Docuseries, Documentary, Drama, History"
KPop Demon Hunters,2025,7.6,87K,N/A,1h 35m,"Computer Animation, Pop Musical, Superhero, Supernatural Fantasy, Action, Adventure, Animation, Comedy, Family, Fantasy"
Carnival Row,2019–2023,7.7,87K,N/A,TV-MA,"Dark Fantasy, Fairy Tale, Fantasy Epic, Supernatural Fantasy, Crime, Drama, Fantasy, Mystery, Thriller"
Boss Level,2020,6.8,87K,56,1h 40m,"Dark Comedy, One-Person Army Action, Time Travel, Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller"
Dumbo,2019,6.2,87K,51,1h 52m,"Animal Adventure, Adventure, Family, Fantasy"
Bodies Bodies Bodies,2022,6.2,86K,69,1h 34m,"Dark Comedy, Teen Horror, Whodunnit, Comedy, Horror, Mystery, Thriller"
Vivarium,2019,5.9,86K,64,1h 37m,"Suspense Mystery, Horror, Mystery, Sci-Fi"
Mank,2020,6.8,86K,79,2h 11m,"Docudrama, Period Drama, Showbiz Drama, Biography, Drama"
Outlaw King,2018,6.9,86K,59,2h 1m,"Historical Epic, Period Drama, War Epic, Action, Biography, Drama, History, War"
Vikram,2022,8.3,86K,N/A,2h 55m,"Tamil, Gun Fu, One-Person Army Action, Action, Crime, Thriller"
The Spy Who Dumped Me,2018,6.1,86K,52,1h 57m,"Buddy Cop, Globetrotting Adventure, High-Concept Comedy, Spy, Action, Adventure, Comedy"
Eighth Grade,2018,7.3,86K,85,1h 33m,"Coming-of-Age, Comedy, Drama"
Mid90s,2018,7.4,86K,66,1h 25m,"Coming-of-Age, Comedy, Drama"
The Lincoln Lawyer,2022–,7.8,86K,N/A,TV-MA,"Legal Drama, Legal Thriller, Crime, Drama, Mystery, Thriller"
Holidate,2020,6.2,85K,44,1h 44m,"Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Holiday, Romance"
Space Jam: A New Legacy,2021,4.5,85K,36,1h 55m,"Basketball, Computer Animation, Hand-Drawn Animation, High-Concept Comedy, Slapstick, Space Sci-Fi, Adventure, Animation, Comedy, Family"
Robin Hood,2018,5.4,85K,32,1h 56m,"One-Person Army Action, Action, Adventure, Drama, Thriller"
Unhinged,2020,6,85K,40,1h 30m,"Car Action, Psychological Thriller, Action, Thriller"
Chainsaw Man,2022,8.3,85K,N/A,TV-MA,"Japanese, Adult Animation, Anime, Dark Fantasy, Hand-Drawn Animation, Shōnen, Action, Animation, Comedy, Fantasy"
One Piece,1999–,9.7,85K,N/A,24m,"Japanese, Action Epic, Adventure Epic, Anime, Epic, Fantasy Epic, Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest"
The Diplomat,2023–,8,85K,N/A,TV-MA,"Political Drama, Drama, Thriller"
Beverly Hills Cop: Axel F,2024,6.4,85K,53,1h 58m,"Buddy Comedy, Dark Comedy, Action, Comedy, Crime, Thriller"
All of Us Are Dead,2022–,7.6,84K,N/A,TV-MA,"Korean, Coming-of-Age, Korean Drama, Survival, Teen Horror, Zombie Horror, Action, Drama, Fantasy, Horror"
The Wonderful Story of Henry Sugar,2023,7.4,84K,85,40m,"Quirky Comedy, Adventure, Comedy, Drama, Short"
Charlie's Angels,2019,5,84K,52,1h 58m,"Globetrotting Adventure, Martial Arts, Action, Adventure, Comedy"
Attack on Titan,2013–2023,9.8,84K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Dunki,2023,6.5,84K,N/A,2h 40m,"Hindi, Action, Adventure, Comedy, Drama, Romance"
Agatha All Along,2024,7.2,84K,N/A,TV-14,"Dark Comedy, Dark Fantasy, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi"
Burning,2018,7.4,84K,91,2h 28m,"Korean, Psychological Thriller, Drama, Mystery, Thriller"
Free Solo,2018,8.1,83K,83,1h 40m,"Extreme Sport, Mountain Adventure, Sports Documentary, Adventure, Documentary, Sport"
Resident Alien,2021–2025,8,83K,N/A,TV-14,"Alien Invasion, Comedy, Drama, Mystery, Sci-Fi"
Cold Pursuit,2019,6.2,83K,57,1h 59m,"Dark Comedy, Drug Crime, Action, Comedy, Crime, Drama, Thriller"
The Outfit,2022,7.2,83K,69,1h 45m,"Gangster, Period Drama, Crime, Drama, Mystery, Thriller"
The Lego Movie 2: The Second Part,2019,6.5,83K,65,1h 47m,"Action Epic, Adventure Epic, Alien Invasion, Computer Animation, Dystopian Sci-Fi, Epic, Fantasy Epic, Quirky Comedy, Sci-Fi Epic, Space Sci-Fi"
Hijack,2023–2025,7.4,82K,N/A,TV-MA,"Drama, Thriller"
The Amateur,2025,6.5,82K,75,2h 2m,"Spy, Action, Thriller"
Bring Her Back,2025,7.2,82K,52,1h 44m,"Body Horror, Psychological Horror, Supernatural Horror, Horror, Mystery"
Dara of Jasenovac,2020,8,82K,N/A,2h 10m,"Drama, War"
Just Mercy,2019,7.6,82K,68,2h 17m,"Legal Drama, True Crime, Biography, Crime, Drama"
For All Mankind,2019–,8.1,82K,N/A,TV-MA,"Space Sci-Fi, Drama, Sci-Fi"
Avatar: The Last Airbender,2024–,7.2,81K,N/A,TV-PG,"Globetrotting Adventure, Supernatural Fantasy, Teen Fantasy, Action, Adventure, Comedy, Drama, Family, Fantasy, Mystery"
Candyman,2021,5.9,81K,72,1h 31m,"Body Horror, Psychological Horror, Psychological Thriller, Slasher Horror, Supernatural Horror, Horror, Thriller"
The Woman King,2022,6.9,81K,76,2h 15m,"Action Epic, Epic, Historical Epic, Action, Drama, History"
Velma,2023–2024,1.6,81K,N/A,TV-MA,"Adult Animation, Raunchy Comedy, Serial Killer, Adventure, Animation, Comedy, Crime, Horror, Mystery"
Fifty Shades Freed,2018,4.6,81K,53,1h 45m,"Steamy Romance, Drama, Mystery, Romance, Thriller"
Sooryavanshi,2021,5.8,81K,31,2h 25m,"Hindi, Cop Drama, Action, Crime, Drama, Thriller"
Lilo & Stitch,2025,6.7,81K,N/A,1h 48m,"Alien Invasion, Buddy Comedy, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Comedy, Drama, Family, Fantasy"
The King of Staten Island,2020,7.1,81K,67,2h 16m,"Coming-of-Age, Dark Comedy, Stoner Comedy, Tragedy, Comedy, Drama"
Spencer,2021,6.5,81K,76,1h 57m,"Docudrama, Psychological Drama, Biography, Drama"
Attack on Titan,2013–2023,8.9,81K,62,1h 25m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
The Monkey,2025,5.9,81K,N/A,1h 38m,"Dark Comedy, Splatter Horror, Supernatural Horror, Horror"
Death Wish,2018,6.3,81K,31,1h 47m,"One-Person Army Action, Action, Crime, Drama, Thriller"
Lioness,2023–,7.8,80K,N/A,TV-MA,"Spy, Action, Drama, Thriller"
I Am Not Okay with This,2020,7.5,80K,N/A,TV-MA,"Supernatural Fantasy, Teen Comedy, Teen Drama, Teen Fantasy, Comedy, Drama, Fantasy, Sci-Fi"
Halloween Ends,2022,5,80K,47,1h 51m,"Dark Romance, Slasher Horror, Drama, Horror, Mystery, Romance, Thriller"
Murder Mystery 2,2023,5.7,80K,44,1h 30m,"Buddy Comedy, Bumbling Detective, Cozy Mystery, Slapstick, Action, Adventure, Comedy, Crime, Mystery, Romance"
The Courier,2020,7.2,80K,65,1h 52m,"Spy, Drama, History, Mystery, Thriller"
Invincible,2021–,9.8,80K,N/A,46m,"Adult Animation, Hand-Drawn Animation, Psychological Drama, Superhero, Tragedy, Urban Adventure, Action, Adventure, Animation, Drama"
Daredevil: Born Again,2025–,8.1,80K,N/A,TV-MA,"Gangster, Legal Drama, Legal Thriller, Martial Arts, Psychological Drama, Psychological Thriller, Superhero, Action, Crime, Drama"
House of the Dragon,2022–,8.7,80K,N/A,1h 6m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
The Lost Daughter,2021,6.7,80K,86,2h 1m,"Psychological Drama, Drama"
Coming 2 America,2021,5.3,80K,52,1h 50m,"Satire, Comedy, Music"
Freaky,2020,6.3,80K,67,1h 42m,"Body Swap Comedy, Dark Comedy, Slasher Horror, Supernatural Horror, Teen Comedy, Teen Horror, Comedy, Horror, Thriller"
Ticket to Paradise,2022,6.1,80K,50,1h 44m,"Romantic Comedy, Satire, Comedy, Drama, Romance"
Don't Breathe 2,2021,6,79K,46,1h 38m,"One-Person Army Action, Action, Crime, Horror, Thriller"
21 Bridges,2019,6.7,79K,51,1h 39m,"Conspiracy Thriller, Cop Drama, One-Person Army Action, Action, Adventure, Crime, Drama, Mystery, Thriller"
Sita Ramam,2022,8.5,79K,N/A,2h 43m,"Telugu, Political Drama, Romantic Epic, Suspense Mystery, Action, Drama, Musical, Mystery, Romance"
MaXXXine,2024,6.2,79K,64,1h 43m,"Serial Killer, Slasher Horror, Crime, Horror"
Hunter Killer,2018,6.6,79K,43,2h 1m,"Action, Thriller"
DC League of Super-Pets,2022,6.8,79K,56,1h 45m,"Computer Animation, Superhero, Action, Adventure, Animation, Comedy, Crime, Family, Fantasy, Sci-Fi"
Clarkson's Farm,2021–,9,79K,N/A,TV-PG,"Docuseries, Comedy, Documentary, Reality TV"
American Primeval,2025,8,79K,N/A,TV-MA,"Action, Drama, Thriller, Western"
The Idea of You,2024,6.3,79K,67,1h 55m,"Feel-Good Romance, Romantic Comedy, Comedy, Drama, Romance"
Bhool Bhulaiyaa 3,2024,4.6,78K,N/A,2h 38m,"Hindi, Supernatural Horror, Comedy, Fantasy, Horror"
Disenchantment,2018–2023,7.2,78K,N/A,TV-MA,"Adult Animation, Dark Comedy, Dark Fantasy, Farce, Quest, Satire, Sitcom, Action, Adventure, Animation"
Uri: The Surgical Strike,2019,8.2,78K,N/A,2h 18m,"Hindi, Action Epic, Action, Drama, History, War"
Your Honor,2020–2023,7.6,78K,N/A,TV-MA,"Epic, Legal Drama, Legal Thriller, Psychological Drama, Crime, Drama, Thriller"
Terrifier 2,2022,6,78K,59,2h 18m,"Body Horror, Slasher Horror, Splatter Horror, Supernatural Horror, Teen Horror, Horror"
Insidious: The Last Key,2018,5.7,78K,49,1h 43m,"Supernatural Horror, Horror, Mystery, Thriller"
The Pitt,2025–,8.9,78K,75,TV-MA,"Medical Drama, Drama"
Werewolf by Night,2022,7.1,77K,N/A,52m,"Superhero, Supernatural Horror, Suspense Mystery, Werewolf Horror, Action, Drama, Fantasy, Horror, Mystery, Thriller"
The Naked Gun,2025,6.5,77K,N/A,1h 25m,"Bumbling Detective, Parody, Satire, Slapstick, Action, Comedy, Crime"
Ratched,2020,7.2,77K,N/A,TV-MA,"Body Horror, Psychological Thriller, Suspense Mystery, Crime, Drama, History, Horror, Mystery, Thriller"
Sweet Tooth,2021–2024,7.7,77K,N/A,TV-14,"Dark Fantasy, Dystopian Sci-Fi, Survival, Action, Adventure, Drama, Fantasy, Sci-Fi"
Defending Jacob,2020,7.8,77K,N/A,TV-MA,"Legal Drama, Legal Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Those Who Wish Me Dead,2021,6,77K,N/A,1h 40m,"Conspiracy Thriller, Psychological Drama, Psychological Thriller, Action, Drama, Thriller"
Alien: Earth,2025–,7.2,77K,59,TV-MA,"Alien Invasion, Monster Horror, Psychological Horror, Psychological Thriller, Space Sci-Fi, Horror, Sci-Fi, Thriller"
The Electric State,2025,5.9,77K,30,2h 5m,"Action Epic, Adventure Epic, Artificial Intelligence, Dystopian Sci-Fi, Epic, Quest, Sci-Fi Epic, Urban Adventure, Action, Adventure"
Blonde,2022,5.4,77K,N/A,2h 47m,"Period Drama, Psychological Drama, Showbiz Drama, Tragedy, Drama, History"
Salaar,2023,6.6,77K,50,2h 55m,"Telugu, Action Epic, Epic, One-Person Army Action, Action, Crime, Drama, Thriller"
Hotel Mumbai,2018,7.6,77K,62,2h 3m,"Hindi, Action, Drama, History, Thriller"
Mufasa: The Lion King,2024,6.6,77K,56,1h 58m,"Animal Adventure, Computer Animation, Adventure, Animation, Drama, Family, Musical"
The Last of Us,2023–,7.3,77K,N/A,56m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
No One Will Save You,2023,6.2,77K,60,1h 33m,"Alien Invasion, Psychological Thriller, Horror, Mystery, Sci-Fi, Thriller"
Ghosted,2023,5.8,77K,34,1h 56m,"Romantic Comedy, Action, Adventure, Comedy, Romance"
Dolittle,2020,5.6,77K,26,1h 41m,"Animal Adventure, Quest, Adventure, Comedy, Family, Fantasy"
Sandeep Bhaiya,2023,9.1,77K,N/A,N/A,"Hindi, Drama"
The Tinder Swindler,2022,7.1,77K,N/A,1h 54m,"Crime Documentary, True Crime, Crime, Documentary"
The Kerala Story,2023,6.8,77K,N/A,2h 18m,"Hindi, Drama"
The Last of Us,2023–,8.3,77K,N/A,46m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
The First Purge,2018,5.2,77K,54,1h 37m,"Dystopian Sci-Fi, Psychological Thriller, Action, Horror, Sci-Fi, Thriller"
The Nun II,2023,5.6,76K,47,1h 50m,"Supernatural Horror, Horror, Mystery, Thriller"
Thanksgiving,2023,6.2,76K,63,1h 46m,"Slasher Horror, Teen Horror, Whodunnit, Comedy, Horror, Mystery, Thriller"
Thirteen Lives,2022,7.8,76K,66,2h 27m,"Disaster, Docudrama, Survival, Biography, Drama, Thriller"
Isn't It Romantic,2019,5.9,76K,60,1h 29m,"Romantic Comedy, Satire, Comedy, Fantasy, Musical, Romance"
The Secret Life of Pets 2,2019,6.4,76K,55,1h 26m,"Animal Adventure, Computer Animation, Adventure, Animation, Comedy, Family"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.2,76K,65,1h 39m,"Computer Animation, Hand-Drawn Animation, Superhero, Teen Adventure, Teen Comedy, Urban Adventure, Action, Adventure, Animation, Comedy"
Men,2022,6,76K,74,1h 40m,"Folk Horror, Drama, Fantasy, Horror, Thriller"
The Harder They Fall,2021,6.6,76K,68,2h 19m,"Classical Western, Western Epic, Action, Drama, Western"
Singham Again,2024,4.3,76K,N/A,2h 24m,"Hindi, Action Epic, Cop Drama, Action, Crime, Drama, Thriller"
Guns Akimbo,2019,6.3,76K,42,1h 38m,"Dark Comedy, Action, Comedy, Crime, Thriller"
Beau Is Afraid,2023,6.6,75K,63,2h 59m,"Dark Comedy, Psychological Drama, Quest, Tragedy, Comedy, Drama"
Paranormal,2020,8,75K,N/A,TV-14,"Arabic, Supernatural Horror, Drama, Fantasy, Horror, Mystery, Thriller"
Kate,2021,6.3,75K,47,1h 46m,"Dark Comedy, Gun Fu, One-Person Army Action, Urban Adventure, Action, Adventure, Crime, Drama, Thriller"
The Night House,2020,6.4,75K,68,1h 47m,"Psychological Horror, Supernatural Horror, Suspense Mystery, Horror, Mystery, Thriller"
Maharaja,2024,8.3,75K,N/A,2h 21m,"Tamil, One-Person Army Action, Action, Crime, Drama, Thriller"
Spiral,2021,5.2,75K,40,1h 33m,"Dark Comedy, Psychological Horror, Psychological Thriller, Splatter Horror, Whodunnit, Horror, Mystery, Thriller"
All of Us Strangers,2023,7.6,75K,90,1h 45m,"Psychological Drama, Tragic Romance, Drama, Romance"
The Farewell,2019,7.5,75K,89,1h 40m,"Mandarin, Coming-of-Age, Quirky Comedy, Comedy, Drama"
1,2020,4.2,75K,N/A,2h 14m,"Hindi, Action, Comedy, Romance"
Sapne Vs Everyone,2023–,9.2,75K,N/A,N/A,"Hindi, Psychological Drama, Drama"
Peppermint,2018,6.5,75K,29,1h 41m,"One-Person Army Action, Psychological Drama, Psychological Thriller, Action, Thriller"
The Bad Guys,2022,6.9,75K,64,1h 40m,"Animal Adventure, Caper, Computer Animation, Heist, Slapstick, Adventure, Animation, Comedy, Crime, Family"
Space Force,2020–2022,6.7,74K,N/A,TV-MA,"Satire, Sitcom, Comedy"
The Sisters Brothers,2018,6.9,74K,78,2h 2m,"Period Drama, Drama, Western"
One Piece,1999–,9.1,74K,N/A,24m,"Japanese, Action Epic, Adventure Epic, Anime, Epic, Fantasy Epic, Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest"
Kung Fu Panda 4,2024,6.3,74K,54,1h 34m,"Animal Adventure, Buddy Comedy, Computer Animation, Martial Arts, Slapstick, Wuxia, Action, Adventure, Animation, Comedy"
Drive My Car,2021,7.5,74K,91,2h 59m,"Japanese, Psychological Drama, Drama"
After,2019,5.3,74K,30,1h 45m,"Steamy Romance, Teen Drama, Teen Romance, Drama, Romance"
Paatal Lok,2020–,8.2,73K,N/A,TV-MA,"Hindi, Conspiracy Thriller, Police Procedural, Action, Crime, Drama, Mystery, Thriller"
I See You,2019,6.8,73K,65,1h 38m,"Psychological Horror, Psychological Thriller, Suspense Mystery, Horror, Mystery, Thriller"
Kraven the Hunter,2024,5.5,73K,58,2h 7m,"One-Person Army Action, Superhero, Action, Adventure, Thriller"
Novocaine,2025,6.5,73K,35,1h 50m,"Dark Comedy, Heist, One-Person Army Action, Superhero, Action, Comedy, Crime, Thriller"
Monster Hunter,2020,5.2,73K,47,1h 43m,"Dark Fantasy, Action, Adventure, Fantasy"
The Bikeriders,2023,6.6,73K,70,1h 56m,"Gangster, Period Drama, Crime, Drama"
Fear Street: Part Three - 1666,2021,6.6,73K,68,1h 54m,"Folk Horror, Slasher Horror, Supernatural Horror, Teen Horror, Witch Horror, Horror, Mystery"
Set It Up,2018,6.5,73K,62,1h 45m,"Romantic Comedy, Comedy, Romance"
Babygirl,2024,5.8,73K,79,1h 54m,"Erotic Thriller, Workplace Drama, Drama, Romance, Thriller"
A Discovery of Witches,2018–2022,7.8,73K,56,TV-MA,"Fantasy Epic, Supernatural Fantasy, Sword & Sorcery, Drama, Fantasy, Romance"
Sonic the Hedgehog 3,2024,6.9,73K,N/A,1h 50m,"Animal Adventure, Fantasy Epic, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy"
Snowpiercer,2020–2024,6.9,73K,N/A,TV-MA,"Dystopian Sci-Fi, Action, Drama, Sci-Fi, Thriller"
Riders of Justice,2020,7.5,73K,85,1h 56m,"Danish, Dark Comedy, One-Person Army Action, Action, Comedy, Drama, Thriller"
Black Bag,2025,6.7,73K,81,1h 33m,"Psychological Thriller, Spy, Drama, Mystery, Romance, Thriller"
Despicable Me 4,2024,6.2,72K,52,1h 34m,"Computer Animation, Dark Comedy, Parody, Satire, Slapstick, Urban Adventure, Adventure, Animation, Comedy, Crime"
Queen Charlotte: A Bridgerton Story,2023,7.6,72K,N/A,TV-MA,"Costume Drama, Period Drama, Teen Romance, Drama, History, Romance"
Truth or Dare,2018,5.2,72K,35,1h 40m,"Slasher Horror, Teen Horror, Horror, Mystery, Thriller"
Kalki 2898 AD,2024,7,72K,65,3h,"Telugu, Action Epic, Adventure Epic, Desert Adventure, Dystopian Sci-Fi, Epic, Sci-Fi Epic, Action, Adventure, Drama"
Derry Girls,2018–2022,8.5,72K,N/A,TV-MA,"Sitcom, Teen Comedy, Comedy"
Red Dead Redemption II,2018,9.7,72K,N/A,M,"Action Epic, Adventure Epic, Epic, Western Epic, Action, Adventure, Crime, Drama, Western"
Leo,2023,7.2,72K,N/A,2h 44m,"Tamil, Action Epic, Gangster, One-Person Army Action, Action, Crime, Drama, Thriller"
See How They Run,2022,6.5,72K,60,1h 38m,"Bumbling Detective, Cozy Mystery, Whodunnit, Comedy, Crime, Mystery"
Star Trek: Strange New Worlds,2022–,8.3,71K,N/A,TV-PG,"Space Sci-Fi, Action, Adventure, Sci-Fi"
Nine Perfect Strangers,2021–,6.9,71K,N/A,TV-MA,"Psychological Drama, Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller"
In the Tall Grass,2019,5.5,71K,46,1h 41m,"Folk Horror, Horror, Mystery, Sci-Fi, Thriller"
Tumbbad,2018,8.2,71K,N/A,1h 48m,"Hindi, Body Horror, Folk Horror, Drama, Fantasy, Horror, Thriller"
Spiderhead,2022,5.5,71K,54,1h 46m,"Cyber Thriller, Psychological Thriller, Action, Crime, Drama, Sci-Fi, Thriller"
Infinity Pool,2023,6,71K,72,1h 57m,"Body Horror, Psychological Drama, Psychological Horror, Crime, Horror, Mystery, Sci-Fi, Thriller"
May December,2023,6.7,71K,86,1h 57m,"Dark Comedy, Psychological Drama, Drama"
Luther: The Fallen Sun,2023,6.4,71K,53,2h 9m,"Psychological Thriller, Action, Crime, Drama, Mystery, Thriller"
Alpha,2018,6.6,71K,63,1h 36m,"Coming-of-Age, Quest, Adventure, Drama"
Three Thousand Years of Longing,2022,6.7,71K,60,1h 48m,"Fairy Tale, Fantasy Epic, Supernatural Fantasy, Drama, Fantasy, Romance"
Chhichhore,2019,8.3,70K,N/A,2h 23m,"Hindi, Comedy, Drama, Romance"
The Hustle,2019,5.5,70K,35,1h 33m,"Buddy Comedy, Caper, Comedy, Crime"
