Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Black Panther: Wakanda Forever,2022,6.6,343K,67,2h 41m,"Superhero, Action, Adventure, Drama, Sci-Fi"
Fallout,2024–,8.3,342K,N/A,TV-MA,"Dystopian Sci-Fi, Survival, Action, Adventure, Drama, Sci-Fi"
Uncut Gems,2019,7.4,342K,93,2h 15m,"Gangster, Psychological Drama, Psychological Thriller, Crime, Drama, Thriller"
It: Chapter Two,2019,6.5,333K,58,2h 49m,"Dark Fantasy, Monster Horror, Supernatural Horror, Drama, Fantasy, Horror"
Succession,2018–2023,8.8,333K,N/A,TV-MA,"Dark Comedy, Epic, Satire, Tragedy, Workplace Drama, Comedy, Drama, Financial Drama"
Superman,2025,7.1,329K,68,2h 9m,"Action Epic, Adventure Epic, Epic, Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi"
El Camino,2019,7.3,327K,72,2h 2m,"Contemporary Western, Psychological Drama, Psychological Thriller, Crime, Drama, Thriller"
Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,326K,52,2h 14m,"Sword & Sorcery, Adventure, Family, Fantasy"
The Haunting of Hill House,2018,8.5,318K,N/A,TV-MA,"Psychological Horror, Supernatural Horror, Drama, Horror, Mystery, Thriller"
Alita: Battle Angel,2019,7.3,317K,53,2h 2m,"Cyberpunk, Dystopian Sci-Fi, Quest, Action, Adventure, Sci-Fi, Thriller"
Aspirants,2021–,9.1,317K,N/A,N/A,"Hindi, Coming-of-Age, Workplace Drama, Drama"
The Platform,2019,7,315K,73,1h 34m,"Spanish, Dystopian Sci-Fi, Prison Drama, Horror, Mystery, Sci-Fi, Thriller"
Mission: Impossible - Dead Reckoning Part One,2023,7.6,314K,81,2h 43m,"Action Epic, Adventure Epic, Spy, Action, Adventure, Thriller"
A Quiet Place Part II,2020,7.2,312K,71,1h 37m,"Alien Invasion, Monster Horror, Supernatural Horror, Drama, Horror, Sci-Fi, Thriller"
Jumanji: The Next Level,2019,6.6,310K,58,2h 3m,"Body Swap Comedy, High-Concept Comedy, Action, Adventure, Comedy, Fantasy"
The Umbrella Academy,2019–2024,7.8,309K,N/A,TV-14,"Superhero, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi"
Aladdin,2019,6.9,308K,53,2h 8m,"Adventure Epic, Desert Adventure, Fairy Tale, Pop Musical, Romantic Comedy, Adventure, Comedy, Family, Fantasy, Musical"
Nope,2022,6.8,307K,77,2h 10m,"Alien Invasion, Monster Horror, Supernatural Horror, Horror, Mystery, Sci-Fi, Thriller"
BlacKkKlansman,2018,7.5,307K,83,2h 15m,"Cop Drama, Docudrama, Period Drama, True Crime, Biography, Comedy, Crime, Drama"
Wonder Woman 1984,2020,5.3,307K,60,2h 31m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Superhero, Action, Adventure, Fantasy, Holiday"
Furiosa: A Mad Max Saga,2024,7.5,305K,79,2h 28m,"Action Epic, Adventure Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Epic, Quest, Tragedy, Action, Adventure"
Toy Story 4,2019,7.6,304K,84,1h 40m,"Computer Animation, Road Trip, Supernatural Fantasy, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy"
Moon Knight,2022,7.3,301K,N/A,TV-14,"Superhero, Supernatural Fantasy, Action, Adventure, Fantasy"
The White Lotus,2021–,8,300K,N/A,TV-MA,"Dark Comedy, Satire, Comedy, Drama"
Glass,2019,6.6,298K,43,2h 9m,"Psychological Drama, Psychological Horror, Psychological Thriller, Superhero, Drama, Horror, Sci-Fi, Thriller"
Black Adam,2022,6.1,298K,41,2h 5m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Sci-Fi Epic, Superhero, Action, Adventure, Fantasy, Sci-Fi"
The Matrix Resurrections,2021,5.6,297K,63,2h 28m,"Cyberpunk, Martial Arts, Superhero, Action, Sci-Fi"
Venom: Let There Be Carnage,2021,5.9,295K,49,1h 37m,"Alien Invasion, Kaiju, One-Person Army Action, Superhero, Action, Sci-Fi, Thriller"
The Bear,2022–,8.5,293K,84,TV-MA,"Psychological Drama, Workplace Drama, Comedy, Drama"
Sinners,2025,7.6,293K,N/A,2h 17m,"Folk Horror, Period Drama, Supernatural Horror, Vampire Horror, Action, Drama, Horror, Music, Thriller"
Killers of the Flower Moon,2023,7.5,292K,89,3h 26m,"Epic, Period Drama, Tragedy, True Crime, Western Epic, Crime, Drama, History, Western"
Yellowstone,2018–2024,8.6,292K,N/A,TV-MA,"Contemporary Western, Epic, Western Epic, Drama, Western"
The Lighthouse,2019,7.4,291K,83,1h 49m,"Dark Fantasy, Folk Horror, Period Drama, Psychological Drama, Psychological Horror, Psychological Thriller, Suspense Mystery, Drama, Fantasy, Horror"
Uncharted,2022,6.3,290K,45,1h 56m,"Action Epic, Adventure Epic, Globetrotting Adventure, Quest, Action, Adventure"
Invincible,2021–,8.7,290K,N/A,TV-MA,"Adult Animation, Hand-Drawn Animation, Psychological Drama, Superhero, Tragedy, Urban Adventure, Action, Adventure, Animation, Drama"
The Northman,2022,7,289K,82,2h 17m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Historical Epic, One-Person Army Action, Period Drama, Tragedy, Action"
Encanto,2021,7.2,288K,75,1h 42m,"Computer Animation, Pop Musical, Animation, Comedy, Family, Fantasy, Musical"
Cruella,2021,7.3,287K,59,2h 14m,"Caper, Urban Adventure, Adventure, Comedy, Crime, Drama"
The Lion King,2019,6.8,287K,55,1h 58m,"Adventure Epic, Animal Adventure, Coming-of-Age, Computer Animation, Epic, Adventure, Animation, Drama, Family, Musical"
The Banshees of Inisherin,2022,7.7,286K,87,1h 54m,"Dark Comedy, Period Drama, Psychological Drama, Tragedy, Comedy, Drama"
All Quiet on the Western Front,2022,7.8,285K,76,2h 28m,"German, Epic, Period Drama, Psychological Drama, Tragedy, War Epic, Drama, History, War"
Extraction,2020,6.8,283K,56,1h 56m,"Gun Fu, One-Person Army Action, Action, Crime, Thriller"
Euphoria,2019–,8.2,281K,N/A,TV-MA,"Coming-of-Age, Teen Drama, Drama"
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,6.1,278K,60,1h 49m,"Dark Comedy, Superhero, Action, Comedy, Crime"
Movie,2023,7,277K,46,1h 32m,"Action Epic, Adventure Epic, Computer Animation, Fantasy Epic, High-Concept Comedy, Quest, Quirky Comedy, Slapstick, Adventure, Animation"
Reacher,2022–,8,277K,N/A,TV-MA,"One-Person Army Action, Action, Crime, Drama, Thriller"
The Invisible Man,2020,7.1,277K,72,2h 4m,"B-Horror, Psychological Drama, Psychological Horror, Psychological Thriller, Suspense Mystery, Whodunnit, Drama, Horror, Mystery, Sci-Fi"
Game of Thrones,2011–2019,4,276K,N/A,1h 20m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Psychological Drama, Sword & Sorcery, Tragedy, Action, Adventure"
Gladiator II,2024,6.5,276K,64,2h 28m,"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama"
Ad Astra,2019,6.5,275K,80,2h 3m,"Sci-Fi Epic, Space Sci-Fi, Adventure, Drama, Mystery, Sci-Fi, Thriller"
Little Women,2019,7.8,274K,91,2h 15m,"Coming-of-Age, Costume Drama, Holiday Romance, Period Drama, Teen Drama, Teen Romance, Drama, Romance"
The Falcon and the Winter Soldier,2021,7.1,274K,N/A,TV-14,"Superhero, Action, Adventure, Drama, Sci-Fi"
Game Night,2018,6.9,270K,66,1h 40m,"Dark Comedy, High-Concept Comedy, Urban Adventure, Action, Adventure, Comedy, Crime, Thriller"
Alien: Romulus,2024,7.1,270K,64,1h 59m,"Body Horror, Monster Horror, Space Sci-Fi, Horror, Sci-Fi, Thriller"
Dungeons & Dragons: Honor Among Thieves,2023,7.2,267K,72,2h 14m,"Quest, Sword & Sorcery, Action, Adventure, Comedy, Fantasy"
The Gray Man,2022,6.5,264K,49,2h 2m,"One-Person Army Action, Action, Mystery, Thriller"
Kong,2021,6.3,261K,59,1h 53m,"Dinosaur Adventure, Disaster, Kaiju, Action, Sci-Fi, Thriller"
Ant-Man and the Wasp: Quantumania,2023,6,260K,48,2h 4m,"Superhero, Action, Adventure, Comedy, Sci-Fi"
Prey,2022,7.1,258K,71,1h 40m,"Alien Invasion, Folk Horror, Monster Horror, Action, Adventure, Horror, Sci-Fi, Thriller"
Ocean's Eight,2018,6.3,256K,61,1h 50m,"Caper, Heist, Action, Comedy, Crime"
Obi-Wan Kenobi,2022,7,255K,N/A,TV-14,"Action Epic, Adventure Epic, Sci-Fi Epic, Space Sci-Fi, Tragedy, Action, Adventure, Sci-Fi"
Elvis,2022,7.3,255K,64,2h 39m,"Docudrama, Epic, Period Drama, Showbiz Drama, Biography, Drama, Music"
The Whale,2022,7.6,254K,60,1h 57m,"Epic, Psychological Drama, Tragedy, Drama"
Civil War,2024,7,254K,75,1h 49m,"Political Thriller, Road Trip, Action, Thriller"
Andor,2022–2025,8.6,253K,N/A,TV-14,"Action Epic, Adventure Epic, Dark Fantasy, Dystopian Sci-Fi, Epic, Fantasy Epic, Political Drama, Political Thriller, Sci-Fi Epic, Space Sci-Fi"
Saltburn,2023,7,252K,61,2h 11m,"Dark Comedy, Psychological Drama, Psychological Thriller, Drama, Thriller"
The Favourite,2018,7.5,252K,91,1h 59m,"Costume Drama, Dark Comedy, Period Drama, Psychological Drama, Biography, Comedy, Drama, History"
Fast & Furious Presents: Hobbs & Shaw,2019,6.4,252K,60,2h 17m,"Car Action, Dark Comedy, Action, Adventure, Thriller"
The Adam Project,2022,6.7,251K,55,1h 46m,"Time Travel, Action, Adventure, Comedy, Sci-Fi"
The Tomorrow War,2021,6.6,247K,45,2h 18m,"Alien Invasion, Dystopian Sci-Fi, Time Travel, Action, Adventure, Drama, Sci-Fi, Thriller"
Adolescence,2025,8.1,246K,N/A,TV-MA,"Psychological Drama, Crime, Drama, Thriller"
Barbarian,2022,7,243K,78,1h 42m,"Psychological Drama, Psychological Horror, Psychological Thriller, Suspense Mystery, Horror, Mystery, Thriller"
The Flash,2023,6.6,241K,55,2h 24m,"Superhero, Supernatural Fantasy, Time Travel, Action, Adventure, Fantasy, Sci-Fi"
